show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,language,description,popularity,vote_count,vote_average
33238,TV Show,Running Man,안재철,"Yoo Jae-suk, Jee Seok-jin, Kim Jong-kook, Haha, Song Ji-hyo",South Korea,2010-07-11,2010,8.241,1 Seasons,"Comedy, Reality",ko,A reality and competition show where members are joined by celebs to complete a weekly mission to win the race with Seoul as the beautiful backdrop.,1929.898,187,8.241
58581,TV Show,Antiques Road Trip,Ian Hendry,Tim Wonnacott,United Kingdom,2010-03-08,2010,5.0,1 Seasons,Documentary,en,"Antiques experts travel across the country, competing to make a profit at auction.",581.634,8,5.0
214252,TV Show,All My Love For You,Hwang Kyo Jin,"Kim Kap-soo, Park Mi-sun, Kim Yeong-ok, Yoon Seung-ah, Jo Kwon",South Korea,2010-11-08,2010,0.0,1 Seasons,Comedy,ko,"The story of the relationship between two families, based on the traditional Korean Cinderella folktale about Kongji and Patji. The Kongji family is poor but kind, while the Patji family is rich but selfish.",314.291,0,0.0
46182,TV Show,Ti Ti Ti,"Ary Coslov, Maria de Médicis, Marcelo Zambelli, Jorge Fernando","Murilo Benício, Alexandre Borges, Cláudia Raia, Isis Valverde, Caio Castro",Brazil,2010-07-19,2010,7.4,1 Seasons,Soap,pt,Brazilian telenovela based on the 1985 telenovela of the same name.,278.459,17,7.4
18059,TV Show,Rubi,"Manny Palo, Erick C. Salud, Darnel Joy Villaflor, Don Cuaresma","Angelica Panganiban, Jake Cuenca, Shaina Magdayao, Diether Ocampo, Cherry Pie Picache",Philippines,2010-02-15,2010,0.0,1 Seasons,Drama,tl,"Rubi was a television series in the Philippines that is a remake of Televisa's Rubí and produced by ABS-CBN which premiered February 15, 2010.",222.934,0,0.0
45817,TV Show,Passione,"Carlos Araújo, André Câmara, Allan Fiterman, Natália Grimberg, Luiz Henrique Rios, Denise Saraceni","Tony Ramos, Mariana Ximenes, Fernanda Montenegro, Reynaldo Gianecchini, Aracy Balabanian",Brazil,2010-05-17,2010,6.5,1 Seasons,Soap,pt,"Passíone is a Brazilian telenovela that originally aired on Rede Globo from May 05, 2010 to January 14, 2011. Is created and written by Sílvio de Abreu.

The plot has the actors Fernanda Montenegro, Tony Ramos, Mariana Ximenes, Reynaldo Gianecchini, Carolina Dieckmann, Rodrigo Lombardi, Marcello Antony, Larissa Maciel, Werner Schünemann, Mayana Moura and Aracy Balabanian in the leading roles.

Replacing Viver a Vida, it premiered in May 05, 2010 and ended its run in January 14, 2011 consisting of 209 episodes.",214.841,13,6.5
34035,TV Show,Aurora,"David Posada, Otto Rodríguez, Tony Rodríguez","Sara Maldonado, Eugenio Siller, Sonya Smith, Jorge Luis Pila, Aylín Mújica",United States of America,2010-11-01,2010,7.3,1 Seasons,"Mystery, Soap, Drama, Crime",es,"Having been cryogenically frozen for 20 years, Aurora's heart torn between past and present : memories of an old love and chance of a new one.",159.659,103,7.3
33018,TV Show,Noah,"Lino S. Cayetano, Malu Sevilla","Piolo Pascual, Zaijian Jaranilla, Jodi Sta. Maria, Kristine Hermosa, Jolo Revilla",Philippines,2010-07-12,2010,0.0,1 Seasons,"Sci-Fi & Fantasy, Drama, Action & Adventure",tl,"Noah was a teleserye Philippine action-fantasy series produced by ABS-CBN. The series premiered on July 12, 2010.",156.415,0,0.0
18604,TV Show,Three Kingdoms,Gao Xixi,"Chen Jianbin, Yu Hewei, Lu Yi, Yu Rongguang, Kang Kai",China,2010-05-02,2010,7.8,1 Seasons,Drama,zh,A Chinese television series based on the events in the late Eastern Han Dynasty and the Three Kingdoms period.,161.322,23,7.8
61302,TV Show,Un souper presque parfait,David Béland,Antoine Vézina,Canada,2010-08-30,2010,4.8,1 Seasons,Reality,fr,"Each week, five amateur cooks compete against each other hosting a dinner party for the other contestants. Each competitor then rates the host's performance with the winner winning a cash prize. ",190.934,2,4.8
50018,TV Show,The Meaning of Friendship,Rudi Aryanto,"Stefan William, Yuki Kato, Kevin Julio, Cut Meyriska, Raffi Ahmad",Indonesia,2010-06-07,2010,0.0,1 Seasons,"Soap, Drama",id,"Ajeng is a very smart girl but she never knows who her father is. She is one of the students who received a scholarship to enter an elite school. Because she was not a girl from a rich family, Yudha always teased her. However, Ajeng is a very strong girl, every time someone puts her down, she always survives. Yudha and his gang always mock and harass the students who receive scholarships. Fathir, who is also a scholarship recipient, can only be irritated and starts making secret plans to repay what Yudha and his gang have done to him.",139.887,0,0.0
35351,TV Show,Smile Again,"Mo Wan-il, Kim Myung-wook","Ji Chang-wook, Do Ji-won, Park Jung-ah, Oh Ji-eun, Lee Jang-woo","South Korea, United States of America",2010-10-04,2010,5.5,1 Seasons,"Drama, Comedy",ko,"Raised in America by his mentally handicapped mother Anna, Dong Hae dreams of traveling to Korea to propose to the woman he loves.. After qualifying for a speed skating competition, he smuggles his mother to Korea with him, but his undying devotion to her soon begins causing him problems. Finally reconnecting with his lost love Saewa, Dong Hae finds his affections divided when things don’t work out as he planned in this award-winning daily drama.",145.898,2,5.5
38824,TV Show,Hand aufs Herz,Kai Meyer-Ricks,"Vanessa Jung, Andreas Jancke, Sonja Bertram, Selina Shirin Müller, Verena Mundhenke",Germany,2010-10-04,2010,7.0,1 Seasons,Soap,de,"Hand aufs Herz is a German television soap opera and premiered on October 4, 2010 on the private broadcasting station Sat.1. It got canceled in June 2011, announcing the series finale for September 5, 2011. However that changed when Sat.1 decided to drop the show from its line-up and sixx was announced to air the remaining episodes; with a one-hour series finale on September 2, 2011.

The show focuses around a fictional high school in Cologne and tackles with young love, a marriage crisis, a mysterious disappearance, schemes and competition fights, coming out, drug abuse, career chances and forbidden feelings. Hand aufs Herz also introduces something completely new to the genre of a soap opera by including music and dance as one of the main elements.

It has been compared to the successful American television show a hit TV show, Glee and the High School Musical franchise. Even though it started out as a musical series, the show shifts its stories from that plot even though it remains a part of the series.

Hand aufs Herz started two weeks after the failed daily drama Eine wie keine aired its final episode due to low ratings. The show is in direct competition with the long-running soap opera Verbotene Liebe and is starring with Vanessa Jung and Andreas Jancke two of its former stars.",136.503,2,7.0
33843,TV Show,Bantatay,Don Michael Perez,"Raymart Santiago, Gelli De Belen, Camille Prats, Krystal Reyes, Renz Valerio",Philippines,2010-09-20,2010,0.0,1 Seasons,"Sci-Fi & Fantasy, Drama, Comedy",tl,"Bantatay or The Guardian is a drama-comedy-fantasy series from GMA Network featuring Raymart Santiago, Gelli de Belen, Jennica Garcia and Carl Guevarra. The show premiered on September 20, 2010 replacing Langit Sa Piling Mo. The show also airs on GMA Pinoy TV worldwide which premiered two days later, September 22, 2010, from the original airdate. Due to high ratings, Bantatay initially extended its 10-week run by 3 weeks before finally being extended until February 25, 2011. The show was originally to be replaced by Alakdana but Alakdana was moved to the timeslot previously occupied by Ang Yaman ni Lola after Eat Bulaga. Bantatay was inspired by the 1995 American Film Fluke as well as the hit the children's TV series, 100 Deeds for Eddie McDowd.",131.664,0,0.0
32683,TV Show,Momay,"Manny Palo, Jojo A. Saguin, Darnel Joy Villaflor","Xyriel Manabat, Maliksi Morales, Ejay Falcon, Lorna Tolentino, Glydel Mercado",Philippines,2010-05-24,2010,0.0,1 Seasons,"Sci-Fi & Fantasy, Drama, Comedy",tl,"Momay is a Filipino fantasy-drama television series which premiered May 24, 2010 on ABS-CBN's Primetime Bida block. The story revolves around a little girl who has died and come back as a ghost to protect and guard her family.",132.077,0,0.0
41827,TV Show,Uma Rosa com Amor,"Luiz Antônio Piá, Rodolfo Silot, Del Rangel","Carla Marins, Cláudio Lins, Mônica Carvalho, Edney Giovenazzi, Betty Faria",Brazil,2010-03-01,2010,6.0,1 Seasons,"Soap, Drama",pt,"Uma Rosa com Amor is a Brazilian telenovela that was produced by SBT, and displayed on 1 March 2010 to August 16, 2010 in 145 chapters. It was written and adapted by James Santiago, inspired by the work Sesso hormone Vincent in collaboration with Renata Dias Gomes and Miguel Paiva and the direction of the soap operas General Del Rangel.

He told Carla Marins, Cláudio Lins, Betty Faria, Mônica Carvalho, Isadora Ribeiro, Edney Giovenazzi, Toni Garrido, Patrícia de Jesus, Carlo Briani and Marina Stacciarini in leading roles.",125.066,1,6.0
